mVTris,TTris
-78.3,21.98
-77.7,22.42
-77.1,22.97
-76.4,23.46
-75.7,23.99
-75.1,24.49
-74.4,24.98
-73.8,25.48
-73.2,25.96
-72.6,26.48
-71.9,26.98
-71.4,27.46
