Species,Coral ID,Treatment,Initial_01May,Initial_12June
Montipora capitata,61,high,5.219,5.423
Montipora capitata,62,ambient,8.757,9.422
Montipora capitata,63,high,12.591,13.138
Montipora capitata,64,high,7.976,8.303
Montipora capitata,66,ambient,10.491,11.72
Montipora capitata,67,high,8.473,8.885
Montipora capitata,68,ambient,8.342,8.929
Montipora capitata,69,high,8.801,9.501
Montipora capitata,70,high,9.645,11.038
Montipora capitata,71,high,7.093,7.521
Montipora capitata,72,ambient,10.031,10.973
Montipora capitata,74,high,9.133,9.522
Montipora capitata,76,ambient,7.91,8.46
Montipora capitata,79,ambient,8.938,9.382
Montipora capitata,80,ambient,6.145,6.384
Montipora capitata,82,high,9.323,9.923
Montipora capitata,83,high,8.458,9.173
Montipora capitata,85,high,6.865,7.045
Montipora capitata,86,ambient,7.195,7.797
Montipora capitata,88,ambient,11.078,11.714
Montipora capitata,90,ambient,8.919,10.224
Montipora capitata,94,ambient,7.013,7.331
Montipora capitata,95,high,6.517,6.784
Montipora capitata,97,ambient,5.181,5.476
Montipora capitata,98,high,8.55,9.353
Montipora capitata,99,ambient,6.136,6.404
Montipora capitata,100,ambient,7.027,7.354
Montipora capitata,101,ambient,7.284,7.832
Montipora capitata,102,ambient,13.496,14.303
Montipora capitata,104,high,11.166,11.514
Montipora capitata,105,high,10.272,10.704
Montipora capitata,106,ambient,8.473,8.953
Montipora capitata,107,ambient,10.105,10.592
Montipora capitata,108,high,16.987,17.249
Montipora capitata,109,high,7.729,8.344
Montipora capitata,110,ambient,8.094,8.525
Montipora capitata,111,high,6.01,6.107
Montipora capitata,114,ambient,6.597,7.106
Montipora capitata,115,high,5.058,5.389
Montipora capitata,117,ambient,12.265,12.657
Montipora capitata,118,high,8.847,9.284
Montipora capitata,119,high,8.152,8.682
Montipora capitata,120,ambient,12.527,13.135
Pocillopora damicornis,121,high,7.41,7.549
Pocillopora damicornis,122,high,8.928,9.21
Pocillopora damicornis,123,ambient,12.528,13.494
Pocillopora damicornis,124,high,11.329,11.844
Pocillopora damicornis,125,high,7.48,7.618
Pocillopora damicornis,127,ambient,12.133,12.696
Pocillopora damicornis,128,ambient,6.359,6.495
Pocillopora damicornis,129,high,8.487,8.763
Pocillopora damicornis,130,high,6.511,6.617
Pocillopora damicornis,131,high,10.781,11.141
Pocillopora damicornis,132,ambient,6.123,6.295
Pocillopora damicornis,133,ambient,10.39,10.882
Pocillopora damicornis,134,high,8.033,8.176
Pocillopora damicornis,135,high,10.57,10.98
Pocillopora damicornis,136,high,9.074,9.401
Pocillopora damicornis,137,high,7.542,7.654
Pocillopora damicornis,138,ambient,10.196,10.843
Pocillopora damicornis,140,high,10.055,10.417
Pocillopora damicornis,141,high,8.295,8.545
Pocillopora damicornis,144,ambient,6.309,6.58
Pocillopora damicornis,145,high,9.367,9.645
Pocillopora damicornis,146,ambient,10.914,11.543
Pocillopora damicornis,147,high,7.882,8.077
Pocillopora damicornis,148,high,6.796,6.917
Pocillopora damicornis,149,high,9.271,9.559
Pocillopora damicornis,150,ambient,13.594,14.211
Pocillopora damicornis,151,high,9.469,9.653
Pocillopora damicornis,152,ambient,7.604,7.818
Pocillopora damicornis,153,high,6.41,6.561
Pocillopora damicornis,154,ambient,8.064,8.371
Pocillopora damicornis,155,high,11.242,11.62
Pocillopora damicornis,157,ambient,6.649,6.884
Pocillopora damicornis,158,ambient,8.9,9.064
Pocillopora damicornis,159,ambient,8.522,8.798
Pocillopora damicornis,160,ambient,13.33,13.495
Pocillopora damicornis,161,ambient,7.445,7.738
Pocillopora damicornis,162,high,9.422,9.7
Pocillopora damicornis,163,ambient,8.114,8.404
Pocillopora damicornis,164,ambient,6.624,6.832
Pocillopora damicornis,165,ambient,10.011,10.638
Pocillopora damicornis,166,ambient,9.838,10.499
Pocillopora damicornis,168,high,9.464,9.663
Pocillopora damicornis,171,high,10.733,11.226
Pocillopora damicornis,172,ambient,6.099,6.321
Pocillopora damicornis,173,ambient,6.254,6.386
Pocillopora damicornis,174,ambient,8.435,8.799
Pocillopora damicornis,175,ambient,8.572,8.954
Pocillopora damicornis,176,high,9.762,9.916
Pocillopora damicornis,178,high,9.097,9.453
Pocillopora damicornis,180,ambient,7.109,7.283
