Species,Coral ID,Treatment,Initial_01May,Final_01May,Initial_15May,Final_15May,Initial_29May,Final_29May,Initial_12June
Montipora capitata,61,high,5.219,5.219,5.264,5.264,5.342,5.342,5.423
Montipora capitata,62,ambient,8.757,8.757,8.922,8.922,9.196,9.196,9.422
Montipora capitata,63,high,12.591,12.591,12.733,12.733,12.938,12.938,13.138
Montipora capitata,64,high,7.976,7.976,8.037,8.037,8.145,8.145,8.303
Montipora capitata,66,ambient,10.491,10.491,10.726,10.726,11.249,11.249,11.72
Montipora capitata,67,high,8.473,8.473,8.578,8.578,8.714,8.714,8.885
Montipora capitata,68,ambient,8.342,8.342,8.456,8.456,8.733,8.733,8.929
Montipora capitata,69,high,8.801,8.801,8.982,8.982,9.256,9.256,9.501
Montipora capitata,70,high,9.645,9.645,9.989,9.989,10.511,10.511,11.038
Montipora capitata,71,high,7.093,7.093,7.204,7.204,7.357,7.357,7.521
Montipora capitata,72,ambient,10.031,10.031,10.274,10.274,10.635,10.635,10.973
Montipora capitata,74,high,9.133,9.133,9.248,9.248,9.48,9.48,9.522
Montipora capitata,76,ambient,7.91,7.91,8.028,8.028,8.272,8.272,8.46
Montipora capitata,77,high,7.589,7.589,7.667,7.667,7.819,7.819,NA
Montipora capitata,79,ambient,8.938,8.938,9.034,9.034,9.206,9.206,9.382
Montipora capitata,80,ambient,6.145,6.145,6.208,6.208,6.298,6.298,6.384
Montipora capitata,82,high,9.323,9.323,9.456,9.456,9.679,9.679,9.923
Montipora capitata,83,high,8.458,8.458,8.623,8.623,8.891,8.891,9.173
Montipora capitata,85,high,6.865,6.865,6.935,6.935,6.966,6.966,7.045
Montipora capitata,86,ambient,7.195,7.195,7.235,7.235,7.498,7.498,7.797
Montipora capitata,88,ambient,11.078,11.078,11.279,11.279,11.496,11.496,11.714
Montipora capitata,90,ambient,8.919,8.919,9.332,9.332,9.798,9.798,10.224
Montipora capitata,94,ambient,7.013,7.013,7.098,7.098,7.232,7.232,7.331
Montipora capitata,95,high,6.517,6.517,6.571,6.571,6.692,6.692,6.784
Montipora capitata,97,ambient,5.181,5.181,5.266,5.266,5.382,5.382,5.476
Montipora capitata,98,high,8.55,8.55,8.74,8.74,9.061,9.061,9.353
