Date,Time,Tank,Treatment,Temperature,pH,Salinity
5-May-14,10:00,3,High,26.4,-48.8,35.3
5-May-14,10:00,4,Ambient,26.07,-66.1,35.3
6-May-14,17:00,3,High,27.56,-51,35
6-May-14,17:00,4,Ambient,28.81,-73.3,35.1
7-May-14,15:50,3,High,26.84,-51.3,35.4
7-May-14,15:50,4,Ambient,27.47,-77.3,34.9
8-May-14,12:15,4,Ambient,26.92,-69.8,35.1
8-May-14,12:15,5,High,26.62,-53.1,35.2
8-May-14,14:35,4,Ambient,27.13,-70.4,35
8-May-14,14:35,5,High,26.55,-54.1,34.9
9-May-14,11:30,4,Ambient,27.4,-70.1,35
9-May-14,11:30,5,High,27.44,-54.3,34.9
12-May-14,14:00,4,Ambient,26.05,-72.4,34.7
12-May-14,14:00,5,High,26.06,-49,34.8
13-May-14,15:30,4,Ambient,25.6,-75,33.7
13-May-14,15:30,5,High,25.54,-53.5,33.7
14-May-14,16:30,4,Ambient,25.77,-69.8,33.2
14-May-14,16:30,5,High,25.74,-56.4,33.2
15-May-14,8:50,4,Ambient,25.3,-64.3,33.4
15-May-14,8:50,5,High,25.26,-50.6,33.5
16-May-14,10:30,4,Ambient,26.19,-69.9,33.4
16-May-14,10:30,5,High,26.25,-38.8,33.3
19-May-14,9:45,4,Ambient,26.48,-66.8,33.4
19-May-14,9:45,5,High,26.67,-43.3,33.5
20-May-14,13:00,4,Ambient,27.71,-71.1,33.3
20-May-14,13:00,5,High,27.88,-41.5,33.3
21-May-14,10:20,4,Ambient,27.11,-69.3,33.5
21-May-14,10:20,5,High,27.3,-41,33.5
22-May-14,9:00,4,Ambient,26.25,-66.5,33.5
22-May-14,9:00,5,High,26.19,-51.6,33.5
23-May-14,12:30,4,Ambient,27.71,-73.4,33.9
23-May-14,12:30,5,High,28.03,-58.6,33.9
27-May-14,9:45,4,Ambient,26.57,-67.9,33.5
27-May-14,9:45,5,High,26.81,-44.5,33.5
28-May-14,11:45,4,Ambient,27.63,-73.1,33.5
28-May-14,11:45,5,High,27.65,-54.1,33.5
29-May-14,13:50,4,Ambient,28.58,-71.4,33.5
29-May-14,13:50,5,High,28.63,-46.1,33.6
30-May-14,9:50,4,Ambient,26.66,-60.9,33.4
30-May-14,9:50,5,High,26.73,-42.2,33.5
2-Jun-14,9:00,4,Ambient,26.58,-60.4,34
2-Jun-14,9:00,5,High,26.58,-43.8,34
3-Jun-14,14:00,4,Ambient,27.14,-65.4,34.1
3-Jun-14,14:00,5,High,27.07,-51.3,34
4-Jun-14,10:00,4,Ambient,27,-62.9,34
4-Jun-14,10:00,5,High,26.87,-41.5,34
5-Jun-14,9:00,4,Ambient,26.36,-60.9,34
5-Jun-14,9:00,5,High,26.31,-47.4,34.1
6-Jun-14,9:30,4,Ambient,26.18,-61.2,34
6-Jun-14,9:30,5,High,26.13,-46.5,34
9-Jun-14,9:20,4,Ambient,26.41,-58.1,34.1
9-Jun-14,9:35,5,High,26.49,-48.8,34.1
10-Jun-14,9:35,4,Ambient,26.46,48.8,34.1
10-Jun-14,9:35,5,High,26.36,-49.6,34
11-Jun-14,14:00,4,Ambient,27.77,-71.4,34.3
11-Jun-14,14:00,5,High,27.63,-52.4,34.3
12-Jun-14,8:00,4,Ambient,26.4,-55.5,34
12-Jun-14,8:00,5,High,26.45,-46.8,34.1
13-Jun-14,8:50,4,Ambient,26.66,-60.8,34.2
13-Jun-14,8:50,5,High,26.63,-46.6,34.1
