,Metabolite.Bin,OPLS-DA Loading,Percent.Change,ChenomxID,Functional group,Count,,,count,%
1,X0.500501,0.000671221,116.3841371,Unk,Unk,1,,unique,15,11.6
2,X0.660467,0.000946646,1447.082994,Unk,Unk,1,,ID,21,16.3
3,X0.74045,0.000831629,-194.9863854,Unk,Unk,1,,UNK,108,83.7
4,X0.780441,0.000638153,5761.72037,Unk,Unk,1,,Total,129,
5,X0.820433,-0.000472514,-202.5641026,Unk,Unk,1,,,,
6,X0.860424,-0.007534993,-156.7129765,Unk,Unk,1,,,,
7,X0.900416,-0.010319391,-83.78194149,Unk,Unk,1,,,,
8,X0.940407,-0.005345641,-79.91899987,Unk,Unk,1,,,,
9,X0.980399,0.004465921,225.1996197,Unk,Unk,1,,,,
10,X1.02039,0.001012381,641.3327758,Unk,Unk,1,,,,
11,X1.06038,0.000766772,2702.490363,Unk,Unk,1,,,,
12,X1.26034,-0.006152082,-140.3081914,"Azelate, Caprate, Caprylate, Sebacate, Suberate","Fatty acid, Dicarboxylic Acid",1,,,,
13,X1.30033,-0.019463773,-123.5561834,Unk,Unk,1,,,,
14,X1.34032,-0.029847815,-166.0737099,Unk,Unk,1,,,,
15,X1.38031,-0.018327758,-202.8830612,Unk,Unk,1,,,,
16,X1.4203,-0.035241703,-202.5770695,Unk,Unk,1,,,,
17,X1.4603,-0.028483616,-188.1534552,Unk,Unk,1,,,,
18,X1.54028,-0.019743043,-202.6626749,"Azelate, Caprate, Caprylate, Sebacate, Suberate","Fatty acid, Dicarboxylic Acid",1,,,,
19,X1.58027,-0.031305342,-193.4546839,Unk,Unk,1,,,,
20,X1.62026,-0.012190288,-193.1212367,Unk,Unk,1,,,,
21,X1.70024,0.001202625,265.4122663,Unk,Unk,1,,,,
22,X1.74024,0.001824171,493.9314577,Unk,Unk,1,,,,
23,X1.78023,-0.002988937,-207.2789919,Unk,Unk,1,,,,
24,X1.86021,0.000940831,-966.268355,Unk,Unk,1,,,,
25,X1.9002,0.001312165,108.8468,Acetate,carboxylic acids,1,,,,
26,X1.94019,0.006113053,105.7552212,Unk,Unk,1,,,,
27,X1.98018,0.005383392,-154.3817669,Unk,Unk,1,,,,
28,X2.02018,-0.001519638,-202.5641026,UDP-N-Acetylglucosamine,acetylated aminosugar nucleotide,1,,,,
29,X2.06017,-0.011767703,-148.4911427,Glutamate,amino acid,1,,,,
30,X2.10016,-0.02462431,-160.9752415,Glutamate,amino acid,1,,,,
31,X2.14015,-0.007403939,-150.4974446,Unk,Unk,1,,,,
32,X2.18014,-0.007354499,-171.8777027,Unk,Unk,1,,,,
33,X2.22013,-0.008958565,-195.4233506,Acetone,ketone body,1,,,,
34,X2.26012,0.00343044,-370.650368,Unk,Unk,1,,,,
35,X2.30012,-0.008210566,-202.5641026,Glutamate,amino acid,1,,,,
36,X2.34011,-0.02875153,-199.3522215,Unk,Unk,1,,,,
37,X2.3801,-0.018955891,-155.8961876,Glutamate,amino acid,1,,,,
38,X2.50007,-0.010074171,-199.0996807,Unk,Unk,1,,,,
39,X2.62005,-0.006056651,-200.3951697,Unk,Unk,1,,,,
40,X2.70003,-0.011246059,-155.3572847,Aspartate,amino acid,1,,,,
41,X2.74002,-0.012533688,-136.9738603,Unk,Unk,1,,,,
42,X2.82,-0.008678644,-145.6353865,Unk,Unk,1,,,,
43,X2.86,-0.013721188,-187.4845041,Unk,Unk,1,,,,
44,X2.89999,0.004139529,305.708166,Unk,Unk,1,,,,
45,X2.93998,0.021950136,1465.506896,"N,N-Dimethylglycine",amino acid derivative,1,,,,
46,X3.05995,0.006605588,-7691.919164,Unk,Unk,1,,,,
47,X3.09994,0.003002822,-2598.965894,Unk,Unk,1,,,,
48,X3.13994,0.006224628,96.03847689,Unk,Unk,1,,,,
49,X3.25991,0.042714434,-1716.493257,Betaine,amino acid,1,,,,
50,X3.2999,0.049100121,71.65528762,Unk,Unk,1,,,,
