"","metabolite","loads","perchange"
"28","X3.2999",-0.103947426287091,-170.636886628264
"7","X1.34032",-0.0348775349158419,-198.493025492095
"9","X1.4203",-0.0330569319563143,-193.973875469803
"6","X1.30033",-0.0322795133332625,-211.175269400717
"12","X1.58027",-0.0262516981732864,-187.147932608703
"18","X2.10016",-0.0260511396062825,-178.657095834751
"10","X1.4603",-0.0259976509591802,-206.490274584393
"23","X2.34011",-0.0252442626704347,-177.615158847292
"2","X0.900416",-0.0234605431646478,-179.415198828424
"34","X4.01975",-0.0218192364284177,-198.343516819556
"8","X1.38031",-0.0193266196855641,-202.4552197488
"11","X1.54028",-0.0168429543137906,-199.569073528434
"24","X2.3801",-0.0166086659618185,-166.536106553255
"26","X2.50007",-0.0153259356203454,-306.670681473236
"29","X3.37988",-0.0143709785803,-186.916078487461
"17","X2.06017",-0.0141558800483621,-189.565404608922
"5","X1.26034",-0.0125222458748593,-249.002777937272
"15","X1.94019",-0.0115751486848362,-194.635173427632
"40","X4.33968",-0.011465084718859,-198.447768519831
"3","X0.940407",-0.0114146303844411,-154.256703609934
"48","X5.09952",-0.0112665244375121,-180.68870613092
"27","X3.13994",-0.0112513245637821,-170.724361920599
"25","X2.42009",-0.0104757419933417,-150.061669702215
"53","X5.93934",-0.010372845153207,-186.941517608692
"1","X0.860424",-0.0100499528794727,-210.646509888947
"32","X3.65982",-0.00999453278571485,-185.634888067747
"35","X4.05974",-0.00969757278565756,-217.55157966866
"46","X5.01953",-0.00961795396364433,-182.376501430986
"47","X5.05952",-0.00865069353332921,-177.86347840682
"19","X2.14015",-0.00861024113454441,-202.230263219111
"20","X2.18014",-0.00842545966455141,-182.728402765218
"21","X2.22013",-0.00816408848925511,-192.317425891403
"13","X1.62026",-0.00802524289790087,-170.106621000335
"31","X3.57984",-0.00799038204953484,-191.778617718677
"22","X2.30012",-0.00771586679879873,-175.641707950271
"30","X3.45987",-0.00696817452771387,-211.939356303574
"37","X4.13972",-0.00636860125999299,-160.770645182699
"33","X3.97976",-0.00615207108872384,-510.787023047349
"54","X5.97933",-0.00607982728551373,-172.403956988524
"39","X4.29969",-0.00521022212012161,-373.652143192881
"36","X4.09973",-0.00459352843692875,-461.097784290413
"4","X0.980399",-0.00431909388007921,-139.732850657465
"42","X4.45965",-0.00420356199962088,-186.286424659288
"52","X5.89934",-0.00411760225030408,-161.060197579244
"41","X4.37967",-0.00357193699438577,-243.751278189112
"45","X4.97954",-0.00293951749176501,-238.067558505346
"38","X4.2597",-0.00203123466235297,-270.713554101215
"61","X7.33904",-0.00193922348673227,-169.405217228538
"44","X4.6996",-0.00165330393071105,-179.824592976687
"66","X8.73874",-0.00145444326882507,-118.406641082392
"56","X6.29926",-0.00143668297368268,-199.877167724964
"49","X5.13951",-0.00141128231948076,-262.434160420698
"50","X5.6194",-0.00137621627882929,-212.841062016984
"59","X6.73916",-0.00133305426140287,-178.394474094939
"60","X6.85914",-0.00126860754809174,-174.464089639759
"51","X5.73938",-0.00125461567195004,-270.296701666483
"63","X7.85892",-0.00120044978913576,-171.395184140193
"65","X8.61876",-0.0012001685448513,-212.371267479546
"68","X9.21863",-0.00116086901113548,-168.020827531384
"58","X6.5792",-0.00115747353973316,-174.390759325891
"71","X9.93848",-0.00115185948155955,-176.43458788807
"64","X8.13886",-0.00112685579614507,-195.615552544988
"70","X9.8185",-0.00110401279864203,-170.43913069735
"14","X1.86021",-0.00106597279987136,-211.614196820906
"62","X7.41902",-0.00101970924515049,-223.848021972845
"69","X9.33861",-0.000979048117322256,-154.502902324633
"57","X6.37924",-0.000953661672131489,-231.258370487879
"16","X1.98018",-0.000940174883614399,75.3018497954354
"43","X4.57963",-0.000824453765977233,-260.438445635311
"67","X8.93869",-0.000705974425705238,-319.999249334809
"55","X6.21928",-0.000611367911247897,-177.272727272727
