"","Metabolite.Bin","Loading","Relative.Percent.Change"
"112","X8.4588",0.00544675407652285,252.177015853681
"27","X1.98018",0.00538339231500488,-154.381766855804
"8","X0.940407",-0.00534564078023965,-79.918999865585
"64","X4.13972",-0.00490937282236254,-155.667214017297
"63","X4.09973",-0.00485369704955486,-201.546584867903
"90","X5.97933",-0.00468306965032517,-180.349223980288
"84","X5.6594",-0.00467064953764768,-184.175671903075
"9","X0.980399",0.00446592106925289,225.199619705597
"81","X5.37946",-0.00432207379461999,-205.457769329252
"85","X5.69939",-0.00424419369495255,-169.612935470395
"44","X2.89999",0.0041395287517769,305.708166043907
"65","X4.17971",0.00410353880343052,324.031598249434
"56","X3.7798",-0.00404424534771699,-78.6717895209455
"91","X6.05931",-0.00383821914815952,-190.836371056755
"34","X2.26012",0.00343044025889581,-370.650367952249
"92","X6.13929",-0.00306297026330429,-208.164380866498
"47","X3.09994",0.00300282178839652,-2598.96589355035
"23","X1.78023",-0.00298893700817674,-207.278991895822
"82","X5.49943",0.00200882215606289,474.976866476127
"74","X4.97954",-0.00200110838157105,-138.5313226835
"22","X1.74024",0.00182417071813948,493.931457662605
"69","X4.37967",-0.00177727928563754,-46.3700856850263
"88","X5.89934",-0.0017393334581801,-86.7194708049696
"70","X4.41966",0.00172479562696368,-200.779522312201
"66","X4.2597",-0.00167840752011254,-202.564102564103
"116","X8.85871",-0.00158976379084336,-142.369877008347
"80","X5.33946",0.00152046369519256,161.391420902556
"28","X2.02018",-0.00151963759434755,-202.564102564103
"114","X8.65875",0.00147561384962324,268.988429259224
"111","X8.29883",0.00135861090008031,1636.05286637385
"25","X1.9002",0.00131216534423586,108.846799995378
"101","X7.17907",0.0013011419983878,2065.90865468593
"83","X5.6194",-0.0012960532999773,-138.195362598963
"103","X7.37903",0.00129271792079615,-378.217923617224
"117","X8.8987",0.00126552669550442,-338.295441004599
"79","X5.29947",0.00125769129683653,-369.373695693863
"99","X6.89913",0.0012257623584492,-749.927985794176
"21","X1.70024",0.00120262485991688,265.412266328682
"73","X4.53964",0.00117588806727673,269.105552618507
"97","X6.69917",0.00113828185417329,-286.237376595613
"98","X6.85914",0.0010854212817493,441.064266990856
"107","X8.01889",0.00106130478810957,-154.14524129087
"10","X1.02039",0.00101238077977261,641.332775803937
"113","X8.53878",0.000990500272361254,-2088.36309785714
"102","X7.29904",0.000977723244733934,-216.332765545228
"2","X0.660467",0.000946646215425728,1447.08299362084
"24","X1.86021",0.000940830888111204,-966.268354969575
"129","X9.97847",0.000935360990083107,1136.54923429844
"104","X7.499",0.000890083460676391,754.180167460295
"118","X8.93869",0.000883412867437169,-261.05806829274
"121","X9.09866",0.000882637898219843,-1119.7293233223
"105","X7.53899",0.000843635756232703,-472.649311955389
"87","X5.85935",0.00083230256540648,-599.946087168237
"3","X0.74045",0.000831629414263974,-194.986385373738
"95","X6.53921",0.000828159122811611,1950.61750605476
"96","X6.61919",-0.000808231486934188,-104.188202113836
"128","X9.61855",0.000767103101717585,121.668201545224
"11","X1.06038",0.000766771643298859,2702.49036300928
"94","X6.49922",0.000730065025021935,-2125.33761772549
"86","X5.81936",0.000723732475485984,-6615.27934097898
"120","X9.05867",0.000682124102363007,-1184.46811228812
"100","X7.09909",0.000679994362140365,1056.19341641999
"127","X9.57856",0.000679441372340849,1624.97067574631
"1","X0.500501",0.000671221125377049,116.384137126257
"126","X9.53856",0.000640865368746404,1086.25626501469
"4","X0.780441",0.000638153479366074,5761.72036997275
"122","X9.25862",-0.000627839733302898,-62.3359048805801
"109","X8.17886",0.000614024715228798,1672.45965967745
"93","X6.25927",0.000505194080295395,397.115190126137
"119","X9.01868",0.000489832512133656,406.313892716776
"108","X8.13886",0.000488719583427512,1351.26167460454
"106","X7.89892",0.000479218925934892,93.9650038919211
"5","X0.820433",-0.000472514033191044,-202.564102564103
"115","X8.81872",0.000471750336685304,118.962716474363
"110","X8.25884",0.000453263399810203,-293.66472712457
"125","X9.49857",0.000423204857386647,52.4953955527878
"124","X9.3786",0.000418105664802959,140.627970681109
"78","X5.21949",0.000372734369652256,322.193816698321
"123","X9.29862",0.000329535160203988,138.079909754072
