"","Metabolite.Bin","Loading","Relative.Percent.Change"
"50","X3.2999",0.0491001212933503,71.6552876181508
"49","X3.25991",0.0427144340626069,-1716.4932568678
"16","X1.4203",-0.0352417034326441,-202.577069468428
"19","X1.58027",-0.0313053416659404,-193.45468385015
"14","X1.34032",-0.0298478150116225,-166.073709932702
"36","X2.34011",-0.0287515304875614,-199.352221467577
"17","X1.4603",-0.0284836164192752,-188.153455198123
"61","X4.01975",-0.0253368972070767,-190.376736982679
"30","X2.10016",-0.0246243103346349,-160.975241525582
"59","X3.93976",0.0231881318712242,78.8884101704419
"62","X4.05974",-0.0227947452041243,-192.976487548965
"45","X2.93998",0.0219501361956185,1465.50689613112
"55","X3.65982",-0.0214412913518608,-166.228540496073
"18","X1.54028",-0.0197430432856115,-202.662674890796
"13","X1.30033",-0.0194637725144076,-123.556183358521
"58","X3.89977",0.0192674304455332,-716.235160346507
"51","X3.33989",0.0190980469929759,-517.933470337374
"37","X2.3801",-0.0189558907588224,-155.896187560192
"15","X1.38031",-0.0183277577914398,-202.88306123011
"68","X4.33968",-0.0140918738820893,-171.766732484244
"43","X2.86",-0.0137211882804685,-187.484504060737
"41","X2.74002",-0.0125336883009898,-136.973860269845
"20","X1.62026",-0.0121902877130511,-193.121236676889
"77","X5.09952",-0.0118773451880963,-186.790245708723
"29","X2.06017",-0.0117677029808343,-148.491142732076
"40","X2.70003",-0.0112460586928463,-155.357284708089
"7","X0.900416",-0.0103193912809542,-83.7819414882656
"60","X3.97976",0.0101422459257397,-441.734995357832
"38","X2.50007",-0.0100741714664814,-199.099680684355
"53","X3.49986",0.00949615520982757,754.972980286097
"89","X5.93934",-0.00910198327858847,-187.152117799316
"71","X4.45965",-0.00901859549903745,-188.426758492252
"33","X2.22013",-0.00895856523809472,-195.423350592959
"75","X5.01953",-0.00894058412191409,-189.839322890759
"42","X2.82",-0.00867864442221323,-145.635386467728
"76","X5.05952",-0.00825489548973737,-199.745009017812
"35","X2.30012",-0.0082105655636651,-202.564102564103
"6","X0.860424",-0.00753499305101099,-156.712976523511
"31","X2.14015",-0.0074039393849536,-150.497444592252
"32","X2.18014",-0.00735449876991591,-171.877702706287
"57","X3.81979",-0.00692769745153667,-155.609382109639
"46","X3.05995",0.00660558776399925,-7691.91916386939
"52","X3.41988",0.00638720901084041,158.726972878139
"54","X3.53985",0.0062603549545871,-836.253954469876
"48","X3.13994",0.00622462809337688,96.0384768890998
"12","X1.26034",-0.00615208160402647,-140.308191375005
"26","X1.94019",0.00611305308177604,105.755221167823
"39","X2.62005",-0.00605665139248409,-200.395169708074
"67","X4.29969",-0.00568111219605038,-185.412226636098
"72","X4.49964",-0.00551923672264926,-203.63398203038
