Treatment,variable,mean,sem,,,Treatment,Salinity,Temperature,pH,CO2,pCO2,fCO2,HCO3,CO3,DIC,TA,Aragonite.Sat
Amb,Salinity,34.0,0.3,,,Amb,34.0 ± 0.3,26.5 ± 0.4,7.99 ± 0.04,12 ± 1,453 ± 51,451 ± 51,1700 ± 47,186 ± 15,1898 ± 34,2163 ± 17,3.0 ± 0.2
High,Salinity,34.1,0.3,,,High,34.1 ± 0.3,26.5 ± 0.4,7.70 ± 0.04,27 ± 3,982 ± 101,979 ± 101,1904 ± 21,107 ± 9,2038 ± 16,2171 ± 10,1.7 ± 0.1
Amb,Temperature,26.5,0.4,,,,,,,,,,,,,,
High,Temperature,26.5,0.4,,,,,,,,,,,,,,
Amb,pH,7.99,0.04,,,,,,,,,,,,,,
High,pH,7.70,0.04,,,,,,,,,,,,,,
Amb,CO2,12,1,,,,,,,,,,,,,,
High,CO2,27,3,,,,,,,,,,,,,,
Amb,pCO2,453,51,,,,,,,,,,,,,,
High,pCO2,982,101,,,,,,,,,,,,,,
Amb,fCO2,451,51,,,,,,,,,,,,,,
High,fCO2,979,101,,,,,,,,,,,,,,
Amb,HCO3,1700,47,,,,,,,,,,,,,,
High,HCO3,1904,21,,,,,,,,,,,,,,
Amb,CO3,186,15,,,,,,,,,,,,,,
High,CO3,107,9,,,,,,,,,,,,,,
Amb,DIC,1898,34,,,,,,,,,,,,,,
High,DIC,2038,16,,,,,,,,,,,,,,
Amb,TA,2163,17,,,,,,,,,,,,,,
High,TA,2171,10,,,,,,,,,,,,,,
Amb,Aragonite.Sat,3.0,0.2,,,,,,,,,,,,,,
High,Aragonite.Sat,1.7,0.1,,,,,,,,,,,,,,
