"","metabolite","loads","perchange"
"13","X3.2999",0.176426910973779,-163.764294424327
"11","X2.93998",0.034838761004771,-180.209308819254
"14","X3.37988",0.0257262948699326,-167.864002829099
"12","X3.13994",0.0200135221212537,-179.850917628777
"7","X2.78001",0.0194230341282259,-179.644191147385
"15","X3.41988",0.0184147908937751,-135.618413954817
"16","X3.45987",0.0172179365604178,-177.07035201566
"17","X3.49986",0.0168866175227183,-158.174892665485
"20","X3.61983",0.0159010011918743,-203.361826974157
"24","X3.97976",0.0144505991504744,-109.675319621831
"19","X3.57984",0.0137543019473276,-221.309167606563
"22","X3.73981",0.0130497767100049,-172.633078178436
"6","X2.74002",0.0124041406336069,-190.657725733897
"4","X2.42009",0.0110462735923651,-168.210226980802
"8","X2.82",0.0109535341166805,-183.023749033396
"2","X1.94019",0.0104029673197922,-112.78573022303
"23","X3.7798",0.0102258453155443,-175.9926062026
"10","X2.89999",0.00876477242833632,-246.439648459948
"21","X3.69982",0.00847224055162266,-287.286070126961
"18","X3.53985",0.00826732202267316,-211.901083466311
"31","X8.4588",0.0082202897268217,-85.7044649209112
"5","X2.46008",0.00705964809116121,-192.713933664487
"9","X2.86",0.00365704925738003,-216.510599842136
"3","X2.18014",0.00316308165776548,-157.727724620114
"1","X1.58027",0.0026081135913094,-127.666767686295
"28","X7.65897",0.0021415650779512,-218.804301077216
"29","X7.77894",0.00199007813733642,-213.550189487937
"27","X7.0591",0.00195965497747836,-146.117088518317
"26","X6.77916",0.00172658372142783,-195.599973907783
"25","X4.61962",0.00139133342601002,-212.294269035116
"30","X8.01889",-0.000864053018654256,2400.51993056101
